redirects,not_indexed_by_google,certificate_age,email_submission,request_url_percentage,url_anchor_percentage,meta_percentage,script_percentage,link_percentage,use_iframe,has_suspicious_port,external_favicons,TTL,ip_address_count,check_sfh,count_domain_occurrences,page_rank_decimal,is_malicious
0,0,-38,0,0,0.018181818,0,0.5,0.5,0,0,0,30,1,0,1,5.02,0
1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,1
3,0,0,0,0,0,0,0.68115942,0.31884058,0,1,3,30,1,0.5,593,4.23,1
0,0,0,0,0,0.93902439,0,0.7,0.3,0,1,0,30,10,0,15,4.04,0
1,0,-306,0,0,0,0,0.470588235,0.529411765,1,0,4,28,1,1,0,3.57,0
1,0,-343,0,0,0,0,0.366666667,0.633333333,1,0,0,29,1,0,126,5.15,0
1,0,0,0,0,0,0,0.183333333,0.816666667,0,1,6,30,2,0,0,5.37,0
0,0,0,0,1,0,0,0.333333333,0.666666667,0,1,1,30,1,0,0,0,1
1,0,-66,0,0,0,0,0.277777778,0.722222222,1,1,0,30,1,0,117,4.07,0
0,0,-38,0,0,0,0,0.557377049,0.442622951,0,0,5,30,1,0.5,5,5.64,0
1,0,-242,0,0,0,0,0.5,0.5,1,1,1,30,1,0,20,5.11,0
0,0,-337,1,0,0,0,0.25,0.75,1,1,1,20,2,0.5,8,5.24,0
1,0,-333,0,0,0.5,0,0.6,0.4,0,1,1,19,2,0,1,3.52,0
1,0,0,0,0,0,0,0.5,0.5,1,0,0,29,1,0,2,5.29,0
1,0,-48,0,0,0,0,0.066666667,0.933333333,0,1,2,28,2,0,3,3.54,0
1,0,0,0,1,0,0,0.571428571,0.428571429,0,0,1,30,1,0,4,4.95,0
1,0,-76,0,0,0,0,0.24137931,0.75862069,1,1,1,30,1,0,4,5.03,0
0,0,-305,0,0,0,0,1,0,0,1,0,29,3,0,4,3.97,0
3,0,-106,0,0,0,0,0.217391304,0.782608696,1,0,2,28,1,1,6,4.29,0
1,0,-16,0,0,0,0,0.5,0.5,1,1,1,19,3,0,3,5,0
0,0,-102,0,0,0,0,0,1,0,1,0,30,1,0,2,6.45,0
2,0,-44,0,0,0.165577342,0,0.565217391,0.434782609,1,1,1,29,1,0,0,5.27,0
0,0,-292,0,0,0,0,0.769230769,0.230769231,0,1,0,29,1,0,2,5.31,0
0,0,-255,0,0,0,0,0.380952381,0.619047619,1,1,0,29,2,0.5,420,4.83,0
0,0,-39,0,0,0.041666667,0,0.379310345,0.620689655,1,0,0,30,1,0,166,5.29,0
4,0,0,0,0,0,0,0.7,0.3,0,1,1,29,3,0.5,0,5.32,0
1,0,0,0,1,0,0,0.5,0.5,0,1,0,30,2,0,0,4.25,0
4,0,0,0,0,0,0,0.636363636,0.363636364,1,1,1,29,4,0,0,4.14,0
