redirects,not_indexed_by_google,certificate_age,email_submission,request_url_percentage,url_anchor_percentage,meta_percentage,script_percentage,link_percentage,mouseover_changes,right_click_disabled,popup_window_has_text_field,use_iframe,has_suspicious_port,external_favicons,TTL,ip_address_count,TXT_record,check_sfh,count_domain_occurrences,domain_registration_length,abnormal_url,age_of_domain,is_malicious,page_rank_decimal
1,0,-34,0,0,0,0.066666667,0.3333333333333333,0.6,0,0,0,0,1,4,19,2,0,0,3,0,0,-1,0,5.19
0,0,-90,0,0,0,0,0.4375,0.5625,0,0,0,0,1,1,30,2,0,0,5,0,0,-1,0,5
0,0,-200,0,0,0,0,0.6086956521739131,0.391304348,0,0,0,0,1,1,30,4,0,0.5,16,0,0,-1,0,6.31
0,0,-307,0,0,0.1596638655462184,0,0.4791666666666667,0.5208333333333334,0,0,0,0,1,0,30,1,0,0,499,0,0,-1,0,5.07
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,0,0,3,0,0,-1,1,
1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,30,2,0,0.5,0,0,0,-1,1,
0,0,0,0,0,0.083333333,0,0.32,0.68,0,0,0,0,0,0,30,1,0,0,44,0,0,-1,0,5
0,0,-65,0,0,0.1428571428571428,0,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,30,1,0,0,15,0,0,-1,0,5.09
0,0,-105,0,1,0,0,0.7397260273972602,0.2602739726027397,0,0,0,0,1,4,30,2,0,0,3,0,0,-1,0,4.24
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,-1,0,3.12
0,0,-11,0,0,0,0,0.4615384615384615,0.5384615384615384,0,0,0,1,1,1,30,1,0,0.5,2,0,0,-1,0,4.7
0,0,-36,0,0,0,0,0.2083333333333333,0.7916666666666666,0,0,0,1,0,0,30,1,0,0,162,0,0,-1,0,5.23
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30,4,0,0,0,0,0,-1,0,4.94
0,0,-297,0,0,0.8461538461538461,0,0,0,0,0,0,0,1,0,30,3,0,0,8,0,0,-1,0,5.25
1,0,0,0,0,0,0,0.5263157894736842,0.4736842105263157,0,0,0,0,0,2,27,1,0,0.5,7,0,0,-1,0,5.24
0,0,-309,0,0,0,0,0.5333333333333333,0.4666666666666667,0,0,0,1,1,2,4,3,0,0.5,3,0,0,-1,0,5.59
2,0,0,0,1,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,2,8,3,0,0,2,0,0,-1,0,4.63
3,0,-74,0,0,0.084269663,0,0.4375,0.5625,0,0,0,1,1,0,28,2,0,0,806,0,0,-1,0,5.34
2,0,0,0,1,0,0,0.4285714285714285,0.5714285714285714,0,0,0,0,1,0,30,2,0,0.5,0,0,0,-1,0,4.14
2,0,-287,0,0,0,0,0.25,0.75,0,0,0,0,1,3,26,1,0,0.5,0,0,0,-1,1,0
0,0,-38,0,0,0.018181818,0,0.5,0.5,0,0,0,0,0,0,30,1,0,0,1,0,0,-1,0,5.02
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,-1,1,
3,0,0,0,0,0,0,0.6811594202898551,0.3188405797101449,0,0,0,0,1,3,30,1,0,0.5,593,0,0,-1,1,4.23
0,0,0,0,0,0.9390243902439024,0,0.7,0.3,0,0,0,0,1,0,30,10,0,0,15,0,0,-1,0,4.04
1,0,-306,0,0,0,0,0.4705882352941176,0.5294117647058824,0,0,0,1,0,4,28,1,0,1,0,0,0,-1,0,3.57
1,0,-343,0,0,0,0,0.3666666666666666,0.6333333333333333,0,0,0,1,0,0,29,1,0,0,126,0,0,-1,0,5.15
1,0,0,0,0,0,0,0.1833333333333333,0.8166666666666667,0,0,0,0,1,6,30,2,0,0,0,0,0,-1,0,5.37
0,0,0,0,1,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,1,30,1,0,0,0,0,0,-1,1,
1,0,-66,0,0,0,0,0.2777777777777778,0.7222222222222222,0,0,0,1,1,0,30,1,0,0,117,0,0,-1,0,4.07
0,0,-38,0,0,0,0,0.5573770491803278,0.4426229508196721,0,0,0,0,0,5,30,1,0,0.5,5,0,0,-1,0,5.64
1,0,-242,0,0,0,0,0.5,0.5,0,0,0,1,1,1,30,1,0,0,20,0,0,-1,0,5.11
0,0,-337,1,0,0,0,0.25,0.75,0,0,0,1,1,1,20,2,0,0.5,8,0,0,-1,0,5.24
1,0,-333,0,0,0.5,0,0.6,0.4,0,0,0,0,1,1,19,2,0,0,1,0,0,-1,0,3.52
1,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,29,1,0,0,2,0,0,-1,0,5.29
1,0,-48,0,0,0,0,0.066666667,0.9333333333333332,0,0,0,0,1,2,28,2,0,0,3,0,0,-1,0,3.54
1,0,0,0,1,0,0,0.5714285714285714,0.4285714285714285,0,0,0,0,0,1,30,1,0,0,4,0,0,-1,0,4.95
1,0,-76,0,0,0,0,0.2413793103448276,0.7586206896551724,0,0,0,1,1,1,30,1,0,0,4,0,0,-1,0,5.03
0,0,-305,0,0,0,0,1,0,0,0,0,0,1,0,29,3,0,0,4,0,0,-1,0,3.97
3,0,-106,0,0,0,0,0.217391304,0.782608696,0,0,0,1,0,2,28,1,0,1,6,0,0,-1,0,4.29
1,0,-16,0,0,0,0,0.5,0.5,0,0,0,1,1,1,19,3,0,0,3,0,0,-1,0,5
0,0,-102,0,0,0,0,0,1,0,0,0,0,1,0,30,1,0,0,2,0,0,-1,0,6.45
2,0,-44,0,0,0.1655773420479303,0,0.5652173913043478,0.4347826086956521,0,0,0,1,1,1,29,1,0,0,0,0,0,-1,0,5.27
0,0,-292,0,0,0,0,0.7692307692307693,0.2307692307692307,0,0,0,0,1,0,29,1,0,0,2,0,0,-1,0,5.31
0,0,-255,0,0,0,0,0.3809523809523809,0.6190476190476191,0,0,0,1,1,0,29,2,0,0.5,420,0,0,-1,0,4.83
0,0,-39,0,0,0.041666667,0,0.3793103448275862,0.6206896551724138,0,0,0,1,0,0,30,1,0,0,166,0,0,-1,0,5.29
4,0,0,0,0,0,0,0.7,0.3,0,0,0,0,1,1,29,3,0,0.5,0,0,0,-1,0,5.32
1,0,0,0,1,0,0,0.5,0.5,0,0,0,0,1,0,30,2,0,0,0,0,0,-1,0,4.25
4,0,0,0,0,0,0,0.6363636363636364,0.3636363636363636,0,0,0,1,1,1,29,4,0,0,0,0,0,-1,0,4.14
1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,25,1,0,0,7,0,0,-1,0,4.88
1,0,-47,0,0,0.1805555555555555,0,0.75,0.25,0,0,0,1,1,0,30,2,0,0,99,0,0,-1,0,4.7
0,0,-50,0,0,0,0,0.2608695652173913,0.7391304347826086,0,0,0,0,0,5,29,1,0,0,63,0,0,-1,0,3.98
1,0,-82,0,0,0,0,0.4,0.6,0,0,0,0,1,3,30,2,0,0,66,0,0,-1,0,5.51
1,0,-105,0,0,0,0,0.1428571428571428,0.8571428571428571,0,0,0,1,1,4,30,1,0,0,35,0,0,-1,0,5.37
1,0,-86,0,0,0,0,0.175,0.825,0,0,0,0,0,2,27,1,0,0,45,0,0,-1,0,5.03
0,0,-33,0,1,0,0,0.079365079,0.9206349206349206,0,0,0,0,1,0,30,2,0,0,62,0,0,-1,0,4.85
1,0,-280,0,0,0.2564102564102564,0,0.6666666666666666,0.3333333333333333,0,0,0,1,1,1,30,2,0,0,32,0,0,-1,0,3.95
1,0,0,0,0,0.8290155440414507,0,0.2857142857142857,0.7142857142857143,0,0,0,0,0,3,26,2,0,0,0,0,0,-1,0,4.9
2,0,0,0,0,0,0,0.3555555555555555,0.6444444444444445,0,0,0,0,1,1,27,1,0,0.5,0,0,0,-1,0,3.05
1,0,-186,0,0,0,0,0.1666666666666666,0.8333333333333334,0,0,0,1,1,1,20,1,0,0,29,0,0,-1,0,5.98
1,0,-133,0,1,0,0,0.4615384615384615,0.5384615384615384,0,0,0,1,1,1,11,4,0,0,0,0,0,-1,0,5.88
1,0,0,0,0,0,0,0.2666666666666666,0.7333333333333333,0,0,0,0,1,1,30,1,0,0.5,9,0,0,-1,0,5.23
1,0,-234,0,0,0.2641509433962264,0,0.5,0.5,0,0,0,1,0,1,26,1,0,0,98,0,0,-1,0,3.32
1,0,-75,0,0,0,0,0.1481481481481481,0.8518518518518519,0,0,0,1,0,3,29,1,0,0,3,0,0,-1,0,5.18
1,0,0,0,0,0,0,0.6363636363636364,0.3636363636363636,0,0,0,0,1,0,30,3,0,0.5,31,0,0,-1,0,5.72
0,0,-311,0,0,0,0,0.5,0.5,0,0,0,1,1,3,30,4,0,0,49,0,0,-1,0,5.57
1,0,-78,0,0,0,0,0.1666666666666666,0.8333333333333334,0,0,0,0,1,6,30,2,0,0,0,0,0,-1,0,4.76
2,0,0,0,0,0.1395348837209302,0,0.3902439024390244,0.6097560975609756,0,0,0,0,1,0,30,1,0,1,109,0,0,-1,1,3.59
7,0,0,0,0,0.06557377,0,0.4782608695652174,0.5217391304347826,0,0,0,0,1,1,17,1,0,0,25,0,0,-1,0,5.92
2,0,-66,0,0,0,0,0.3666666666666666,0.6333333333333333,0,0,0,1,0,1,26,1,0,0.5,0,0,0,-1,0,4.91
0,0,-67,0,0,0,0,0.8181818181818182,0.1818181818181818,0,0,0,1,1,0,30,1,0,0,393,0,0,-1,0,5.04
2,0,-223,0,0,0.8827586206896552,0,0.75,0.25,0,0,0,0,1,1,30,12,0,0,51,0,0,-1,0,4.98
2,0,-378,1,0,0,0,0.6,0.4,0,0,0,1,1,3,29,1,0,0.5,22,0,0,-1,0,5.1
2,0,0,0,0,0.4629629629629629,0,0.4134615384615384,0.5865384615384616,0,0,0,1,1,0,30,1,0,0,279,0,0,-1,0,4.35
0,0,-60,0,0,0,0,0.2631578947368421,0.7368421052631579,0,0,0,1,1,4,20,1,0,0,24,0,0,-1,0,6.29
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,-1,0,5.14
0,0,-261,0,0,0,0,0.8,0.2,0,0,0,0,1,1,30,8,0,0,0,0,0,-1,0,5.38
1,0,0,0,1,0,0,0.5,0.5,0,0,0,0,1,0,30,2,0,0,0,0,0,-1,1,2.52
0,0,-250,0,0,0,0,0.6666666666666666,0.3333333333333333,0,0,0,1,1,1,28,1,0,0,15,0,0,-1,0,5.03
0,0,-214,0,1,0,0,0,0,0,0,0,0,1,0,20,1,0,0,0,0,0,-1,0,6.61
0,0,-51,0,0,0,0,0.071428571,0.9285714285714286,0,0,0,1,1,2,30,1,0,0,272,0,0,-1,0,4.28
0,0,-72,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,0,30,2,0,0,3,0,0,-1,0,5.25
0,0,-253,0,0,0,0,0.3225806451612903,0.6774193548387096,0,0,0,1,1,0,30,3,0,0,53,0,0,-1,0,4.84
0,0,-55,0,1,0,0,0,1,0,0,0,0,0,0,30,1,0,0,0,0,0,-1,0,5.41
2,0,0,0,0,0.6967592592592593,0,0.3,0.7,0,0,0,0,1,4,14,2,0,0,5,0,0,-1,0,4.9
1,0,-226,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,4,0,0,-1,0,4.98
1,0,-48,0,0,0,0,0.625,0.375,0,0,0,0,1,0,30,1,0,0.5,73,0,0,-1,0,4.78
2,0,0,0,1,0,0,0.2857142857142857,0.7142857142857143,0,0,0,0,0,1,27,1,0,0,0,0,0,-1,0,4.9
0,0,-52,0,0,0,0,0.7647058823529411,0.2352941176470588,0,0,0,1,1,1,30,1,0,0.5,2,0,0,-1,0,5.22
0,0,-84,0,0,0.047619048,0,0.6666666666666666,0.3333333333333333,0,0,0,0,1,0,19,2,0,0,49,0,0,-1,0,5.71
0,0,-63,0,0,0,0,0.5,0.5,0,0,0,1,1,2,16,1,0,0,3,0,0,-1,0,5.65
1,0,-30,0,0,0.5,0,0.095238095,0.9047619047619048,0,0,0,0,1,1,29,1,0,0,0,0,0,-1,0,4.72
0,0,-143,0,0,0.2325581395348837,0,0.3492063492063492,0.6507936507936508,0,0,0,1,1,3,21,2,0,0,165,0,0,-1,0,5.04
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30,1,0,0,1,0,0,-1,1,
0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,1,29,1,0,0,1,0,0,-1,1,0
0,0,-86,0,0,0,0,0.5161290322580645,0.4838709677419355,0,0,0,0,1,0,30,2,0,0.5,121,0,0,-1,0,5.28
1,0,0,0,0,0,0,0.2162162162162162,0.7837837837837838,0,0,0,0,0,1,30,1,0,0,6,0,0,-1,0,5.06
1,0,0,0,0,0.1111111111111111,0,0.045454545,0.9545454545454546,0,0,0,0,1,7,20,2,0,0,0,0,0,-1,0,5.27
1,0,0,0,0,0.045454545,0,0.375,0.625,0,0,0,0,0,0,29,1,0,0,175,0,0,-1,0,4.19
0,0,-22,0,0,0,0,0.4375,0.5625,0,0,0,1,1,0,30,1,0,0,447,0,0,-1,0,5.46
2,0,0,0,0,0.1521739130434782,0,0.5428571428571428,0.4571428571428571,0,0,0,0,1,0,27,1,0,0,13,0,0,-1,1,3.35
0,0,-55,0,0,0,0,0.3146067415730337,0.6853932584269663,0,0,0,0,1,0,30,4,0,0.5,156,0,0,-1,0,4.97
0,0,-190,0,0,0,0,0.6363636363636364,0.3636363636363636,0,0,0,1,1,1,26,2,0,0.5,25,0,0,-1,0,5.11
0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,1,1,30,1,0,0,0,0,0,-1,1,
0,0,-67,0,1,0,0,0.8,0.2,0,0,0,0,1,0,30,3,0,0,4,0,0,-1,0,4.93
0,0,0,0,1,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,1,30,1,0,0,0,0,0,-1,1,
1,0,-213,0,0,0.2328767123287671,0,0.3414634146341463,0.6585365853658537,0,0,0,0,0,0,30,1,0,0,138,0,0,-1,0,4.54
2,0,-76,0,0,0,0,0.525,0.475,0,0,0,0,0,1,30,2,0,0,22,0,0,-1,0,5.04
0,0,-146,0,0,0.9444444444444444,0,0.5517241379310345,0.4482758620689655,0,0,0,0,1,0,29,2,0,0,230,0,0,-1,0,4.37
1,0,-73,0,0,0,0,0.3846153846153846,0.6153846153846154,0,0,0,1,1,5,30,1,0,0,14,0,0,-1,0,5.1
0,0,0,0,0,0.024793388,0,0.2962962962962963,0.7037037037037037,0,0,0,0,0,0,29,1,0,0,504,0,0,-1,0,5.25
2,0,-235,0,0,0,0,0.4,0.6,0,0,0,1,1,1,30,4,0,0,0,0,0,-1,0,5.12
1,0,0,0,0,0,0,0.75,0.25,0,0,0,0,1,1,30,1,0,0,0,0,0,-1,1,
0,0,-336,0,0,0.9736842105263158,0,0.4375,0.5625,0,0,0,1,1,0,29,4,0,0,51,0,0,-1,0,4.92
3,0,-33,0,0,0.9703703703703704,0,0.3846153846153846,0.6153846153846154,0,0,0,1,1,2,28,2,0,0,319,0,0,-1,0,5.71
0,0,-277,0,0,0,0,0.3809523809523809,0.6190476190476191,0,0,0,1,1,2,30,2,0,0.5,25,0,0,-1,0,4.95
1,0,-53,0,0,0,0,0.5411764705882353,0.4588235294117647,0,0,0,1,1,0,30,1,0,0,512,0,0,-1,0,5.92
2,0,0,0,0,0.4495412844036697,0,0.2537313432835821,0.746268657,0,0,0,0,1,7,30,2,0,0.5,283,0,0,-1,0,5.96
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30,1,0,0,1,0,0,-1,1,2.37
0,0,-346,0,0,0,0,0.4,0.6,0,0,0,1,1,0,30,1,0,0,209,0,0,-1,0,5.08
2,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,30,1,0,0.5,58,0,0,-1,0,4.23
0,0,-77,0,0,0,0,0.041666667,0.9583333333333334,0,0,0,1,1,2,30,1,0,0,119,0,0,-1,0,5.89
0,0,-284,0,0,0.05313093,0,0.9411764705882352,0.058823529,0,0,0,0,1,0,30,3,0,0.5,574,0,0,-1,0,5.12
1,0,-179,0,0,0,0,0.1304347826086956,0.8695652173913043,0,0,0,0,1,1,20,1,0,0,292,0,0,-1,0,5.73
1,0,-143,0,0,0.1151515151515151,0,0.4210526315789473,0.5789473684210527,0,0,0,1,1,2,30,1,0,0,158,0,0,-1,0,5.34
0,0,-75,0,0,0,0,0.6363636363636364,0.3636363636363636,0,0,0,0,1,1,30,1,0,0,9,0,0,-1,0,5.25
0,0,-35,0,0,0,0,0.4615384615384615,0.5384615384615384,0,0,0,1,1,1,15,1,0,0.5,17,0,0,-1,0,4.82
1,0,-364,0,0,0,0,0.4444444444444444,0.5555555555555556,0,0,0,0,1,2,23,4,0,0,2,0,0,-1,0,5.62
3,0,0,0,0,0.001127396,0,0.8095238095238095,0.1904761904761904,0,0,0,0,1,0,30,1,0,0,2,0,0,-1,1,
0,0,-49,0,0,0,0,0.4,0.6,0,0,0,1,1,0,29,1,0,0,180,0,0,-1,0,4.01
1,0,-193,0,0,0,0,0.5416666666666666,0.4583333333333333,0,0,0,0,1,1,29,1,0,0,1,0,0,-1,0,5.27
1,0,-73,0,0,0,0,0.5428571428571428,0.4571428571428571,0,0,0,0,1,0,29,3,0,0,0,0,0,-1,0,3.73
0,0,-125,0,1,0,0,0,1,0,0,0,1,0,0,29,1,0,0,332,0,0,-1,0,4.22
2,0,0,0,0,0.070175439,0,0.7272727272727273,0.2727272727272727,0,0,0,0,1,0,27,8,0,0,187,0,0,-1,0,3.41
1,0,0,0,0,0,0,0.44,0.56,0,0,0,1,1,0,27,2,0,0,78,0,0,-1,0,5.76
0,0,-61,0,0,0,0,0.071428571,0.9285714285714286,0,0,0,0,0,1,28,1,0,0,34,0,0,-1,0,4.97
1,0,-253,0,0,0,0,0.375,0.625,0,0,0,0,0,2,30,8,0,0,0,0,0,-1,0,5.19
1,0,-74,0,0,0,0,0.55,0.45,0,0,0,0,1,0,28,1,0,0,11,0,0,-1,0,3.47
0,0,-381,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,1,1,0,30,1,0,0,246,0,0,-1,0,6.1
1,0,-54,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,1,30,3,0,0.5,9,0,0,-1,0,5.91
0,0,-296,0,0,0,0,0.5,0.5,0,0,0,1,1,0,30,4,0,0.5,75,0,0,-1,0,5.12
0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,1,1,30,1,0,0,1,0,0,-1,1,3.32
1,0,0,0,0,0.5476190476190477,0,0.1428571428571428,0.8571428571428571,0,0,0,0,0,0,29,1,0,0,1,0,0,-1,0,4.82
0,0,-369,0,0,0,0,0.22,0.78,0,0,0,0,1,1,30,1,0,0,24,0,0,-1,0,5.55
3,0,0,0,0,0.3181818181818182,0,0.36,0.64,0,0,0,1,1,3,30,4,0,0,0,0,0,-1,0,5.15
2,0,-122,0,0,0,0,0.8,0.2,0,0,0,0,1,1,30,4,0,0,22,0,0,-1,0,4.81
0,0,-125,0,0,0,0,0.375,0.625,0,0,0,0,1,1,29,3,0,0,26,0,0,-1,0,5.51
1,0,0,0,1,0,0,0.25,0.75,0,0,0,0,1,0,30,1,0,0,11,0,0,-1,0,4.42
0,0,-73,1,0,0.2765957446808511,0,0.3773584905660377,0.6226415094339622,0,0,0,0,0,0,28,1,0,1,273,0,0,-1,0,4.52
0,0,-283,0,0,0.9842105263157894,0,0.3461538461538461,0.6538461538461539,0,0,0,1,1,0,29,4,0,0,168,0,0,-1,0,4.25
0,0,-351,0,0,0,0,0.5510204081632653,0.4489795918367347,0,0,0,0,1,0,30,4,0,0,9,0,0,-1,0,5.47
3,0,0,0,0,0.2891566265060241,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,1,20,1,0,1,37,0,0,-1,0,5.16
2,0,0,0,0,0.9945652173913044,0,0.1282051282051282,0.8717948717948718,0,0,0,0,0,5,30,1,0,0,0,0,0,-1,1,
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29,1,0,0.5,0,0,0,-1,1,5.62
1,0,-122,0,0,0,0,0.1176470588235294,0.8823529411764706,0,0,0,1,1,5,30,4,0,0,41,0,0,-1,0,5.22
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,-1,0,5.02
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29,1,0,0,0,0,0,-1,0,5.31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,-1,1,2.8
0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,1,1,30,1,0,0,0,0,0,-1,1,0
0,0,-270,0,0,0.15,0,0.3404255319148936,0.6595744680851063,0,0,0,1,1,0,30,2,0,0,83,0,0,-1,0,5.16
1,0,-4,0,1,0,0,0.5555555555555556,0.4444444444444444,0,0,0,0,1,1,5,1,0,0,0,0,0,-1,0,5.09
0,0,-298,0,0,0,0,0.4705882352941176,0.5294117647058824,0,0,0,1,0,1,16,1,0,0.5,65,0,0,-1,0,5.11
0,0,-153,0,0,0,0,0.4761904761904761,0.5238095238095238,0,0,0,0,1,0,28,2,0,0.5,176,0,0,-1,0,4.54
